Entity,Code,Year,Literacy rate among young men
Uruguay,URY,2013,98.6
Uruguay,URY,2014,98.3
Uruguay,URY,2015,98.6
Uruguay,URY,2016,98.9
Uruguay,URY,2017,98.6
Uruguay,URY,2018,98.6
Uruguay,URY,2019,98.7
Uruguay,URY,2021,99.1
Uruguay,URY,2022,98.9
Uruguay,URY,2023,98.7
Uzbekistan,UZB,2000,100
Uzbekistan,UZB,2013,100
Uzbekistan,UZB,2014,100
Uzbekistan,UZB,2015,100
Uzbekistan,UZB,2016,100
Uzbekistan,UZB,2018,100
Uzbekistan,UZB,2019,100
Uzbekistan,UZB,2021,100
Uzbekistan,UZB,2022,100
Vanuatu,VUT,1979,76
Vanuatu,VUT,2023,93.36447
Venezuela,VEN,1981,92
Venezuela,VEN,1990,95
Venezuela,VEN,2000,96.9
Venezuela,VEN,2001,97
Venezuela,VEN,2002,97.2
Venezuela,VEN,2003,97.2
Venezuela,VEN,2004,97.7
Venezuela,VEN,2005,97.6
Venezuela,VEN,2006,97.8
Venezuela,VEN,2007,98
Venezuela,VEN,2008,98.1
Venezuela,VEN,2009,98.3
Venezuela,VEN,2010,98.1
Venezuela,VEN,2011,98.3
Venezuela,VEN,2012,98.6
Venezuela,VEN,2013,98.5
Venezuela,VEN,2014,98.6
Venezuela,VEN,2015,99
Venezuela,VEN,2016,98
Vietnam,VNM,1979,96
Vietnam,VNM,1989,94
Vietnam,VNM,1999,95
Vietnam,VNM,2000,96
Vietnam,VNM,2009,97
Vietnam,VNM,2019,99
Vietnam,VNM,2020,97.48152
Vietnam,VNM,2022,99
World,OWID_WRL,1975,84.20595
World,OWID_WRL,1976,84.17135
World,OWID_WRL,1977,84.20283
World,OWID_WRL,1978,84.46616
World,OWID_WRL,1979,84.77585
World,OWID_WRL,1980,84.9404
World,OWID_WRL,1981,85.0829
World,OWID_WRL,1982,85.20493
World,OWID_WRL,1983,85.2977
World,OWID_WRL,1984,85.46811
World,OWID_WRL,1985,85.64762
World,OWID_WRL,1986,85.81324
World,OWID_WRL,1987,86.27433
World,OWID_WRL,1988,87.0731
World,OWID_WRL,1989,87.18682
World,OWID_WRL,1990,87.31748
World,OWID_WRL,1991,87.43884
World,OWID_WRL,1992,87.67215
World,OWID_WRL,1993,87.92209
World,OWID_WRL,1994,88.03336
World,OWID_WRL,1995,88.14821
World,OWID_WRL,1996,88.23841
World,OWID_WRL,1997,88.7176
World,OWID_WRL,1998,89.70054
World,OWID_WRL,1999,89.85753
World,OWID_WRL,2000,89.84021
World,OWID_WRL,2001,89.94985
World,OWID_WRL,2002,90.38558
World,OWID_WRL,2003,90.82547
World,OWID_WRL,2004,90.99728
World,OWID_WRL,2005,91.38889
World,OWID_WRL,2006,90.91807
World,OWID_WRL,2007,91.08644
World,OWID_WRL,2008,91.41756
World,OWID_WRL,2009,91.40515
World,OWID_WRL,2010,91.80122
World,OWID_WRL,2011,91.86451
World,OWID_WRL,2012,92.09037
World,OWID_WRL,2013,92.42617
World,OWID_WRL,2014,92.55024
World,OWID_WRL,2015,92.69437
World,OWID_WRL,2016,92.76739
World,OWID_WRL,2017,92.85626
World,OWID_WRL,2018,92.88166
World,OWID_WRL,2019,93.74094
World,OWID_WRL,2020,93.77812
World,OWID_WRL,2021,93.83333
World,OWID_WRL,2022,93.8974
World,OWID_WRL,2023,93.93184
Yemen,YEM,1994,83
Yemen,YEM,2023,61.76
Zambia,ZMB,1990,67
Zambia,ZMB,1999,73
Zambia,ZMB,2002,78
Zambia,ZMB,2010,91
Zambia,ZMB,2018,82.44786
Zimbabwe,ZWE,1982,94
Zimbabwe,ZWE,1992,97
Zimbabwe,ZWE,2019,90.77383
