Entity,Code,Year,Literacy rate among young women
World,OWID_WRL,1982,74.21412
World,OWID_WRL,1983,74.83505
World,OWID_WRL,1984,75.57709
World,OWID_WRL,1985,76.22743
World,OWID_WRL,1986,76.82139
World,OWID_WRL,1987,77.6648
World,OWID_WRL,1988,78.00692
World,OWID_WRL,1989,78.39028
World,OWID_WRL,1990,78.86351
World,OWID_WRL,1991,79.24219
World,OWID_WRL,1992,79.55118
World,OWID_WRL,1993,79.79938
World,OWID_WRL,1994,80.19295
World,OWID_WRL,1995,80.59619
World,OWID_WRL,1996,80.9904
World,OWID_WRL,1997,82.21442
World,OWID_WRL,1998,82.80887
World,OWID_WRL,1999,83.27845
World,OWID_WRL,2000,83.30813
World,OWID_WRL,2001,83.82793
World,OWID_WRL,2002,84.33525
World,OWID_WRL,2003,84.83368
World,OWID_WRL,2004,85.37423
World,OWID_WRL,2005,85.40587
World,OWID_WRL,2006,85.46435
World,OWID_WRL,2007,86.00191
World,OWID_WRL,2008,86.55271
World,OWID_WRL,2009,86.77014
World,OWID_WRL,2010,87.23128
World,OWID_WRL,2011,87.70053
World,OWID_WRL,2012,88.10454
World,OWID_WRL,2013,88.67801
World,OWID_WRL,2014,89.10535
World,OWID_WRL,2015,89.52198
World,OWID_WRL,2016,89.83617
World,OWID_WRL,2017,90.04203
World,OWID_WRL,2018,90.12206
World,OWID_WRL,2019,90.9163
World,OWID_WRL,2020,91.07546
World,OWID_WRL,2021,91.26919
World,OWID_WRL,2022,91.50098
World,OWID_WRL,2023,91.67273
Yemen,YEM,1994,35
Yemen,YEM,2006,65.66
Yemen,YEM,2013,64.08
Yemen,YEM,2023,76.91698
Zambia,ZMB,1990,66
Zambia,ZMB,1999,66
Zambia,ZMB,2002,66
Zambia,ZMB,2010,87
Zambia,ZMB,2018,72.90992
Zimbabwe,ZWE,1982,85
Zimbabwe,ZWE,1992,94
Zimbabwe,ZWE,2009,95.65
Zimbabwe,ZWE,2014,96.31
Zimbabwe,ZWE,2019,94.2159
